"","SampleID","Index.Name","Index.Region","ni_total","nt_total","nt_EPT","nt_Ephem","pi_tv_intolurb","pi_Ephem","nt_ffg_scrap","pi_habit_clmbrs","pi_Chiro","pi_habit_clngrs","pi_Tanyt","pi_ffg_scrap","pi_habit_swmmrs","pi_Dipt"
"1","ABPG-204-R-2016","MSW.1999.Bugs","COASTAL",124,25,2,1,0.282258064516129,0.032258064516129,0,0.185483870967742,0.411290322580645,0.387096774193548,0.0403225806451613,0,0,0.435483870967742
"2","ANTI-101-S-2016","MSW.1999.Bugs","HIGHLAND",128,26,16,6,0.0859375,0.3828125,3,0.125,0.125,0.875,0.015625,0.0234375,0.1796875,0.2421875
"3","ATKI-003-X-2016","MSW.1999.Bugs","EPIEDMONT",121,25,4,1,0.570247933884298,0.00826446280991736,3,0.148760330578512,0.760330578512397,0.305785123966942,0.0495867768595041,0.0247933884297521,0.00826446280991736,0.793388429752066
"4","ATKI-101-X-2016","MSW.1999.Bugs","EPIEDMONT",116,23,7,1,0.405172413793103,0.0603448275862069,1,0.181034482758621,0.5,0.672413793103448,0.00862068965517241,0.00862068965517241,0.0603448275862069,0.560344827586207
"5","ATKI-102-X-2016  ","MSW.1999.Bugs","EPIEDMONT",125,15,0,0,0.688,0,1,0.048,0.936,0.016,0.048,0.008,0,0.936
"6","ATKI-104-R-2016","MSW.1999.Bugs","EPIEDMONT",118,29,11,2,0,0.186440677966102,4,0.0338983050847458,0.305084745762712,0.720338983050847,0,0.0254237288135593,0.169491525423729,0.457627118644068
"7","ATKI-106-R-2016","MSW.1999.Bugs","EPIEDMONT",122,19,4,0,0.80327868852459,0,1,0.0901639344262295,0.860655737704918,0.237704918032787,0.00819672131147541,0.00819672131147541,0,0.909836065573771
"8","ATKI-302-R-2016","MSW.1999.Bugs","EPIEDMONT",114,23,7,2,0.464912280701754,0.0701754385964912,0,0.0350877192982456,0.184210526315789,0.780701754385965,0.043859649122807,0,0.0701754385964912,0.368421052631579
"9","ATKI-303-R-2016","MSW.1999.Bugs","EPIEDMONT",111,20,8,2,0.558558558558559,0.0990990990990991,2,0.027027027027027,0.18018018018018,0.774774774774775,0,0.018018018018018,0.0990990990990991,0.459459459459459
"10","BACK-101-R-2016","MSW.1999.Bugs","EPIEDMONT",123,14,1,0,0.951219512195122,0,1,0.422764227642276,0.528455284552846,0.0487804878048781,0,0.00813008130081301,0,0.536585365853659
"11","BACK-105-R-2016","MSW.1999.Bugs","EPIEDMONT",117,10,3,0,0.94017094017094,0,0,0,0.444444444444444,0.581196581196581,0.00854700854700855,0,0,0.461538461538462
"12","BACK-111-R-2016","MSW.1999.Bugs","COASTAL",132,21,2,0,0,0,0,0.257575757575758,0.522727272727273,0.393939393939394,0.053030303030303,0,0,0.53030303030303
"13","BELK-109-R-2016","MSW.1999.Bugs","EPIEDMONT",126,36,15,3,0.150793650793651,0.119047619047619,9,0.0714285714285714,0.277777777777778,0.650793650793651,0.0555555555555556,0.0396825396825397,0.00793650793650794,0.388888888888889
"14","BELK-303-R-2016","MSW.1999.Bugs","EPIEDMONT",111,15,7,2,0,0.018018018018018,4,0,0.279279279279279,0.792792792792793,0.0810810810810811,0.018018018018018,0,0.369369369369369
"15","BELK-305-R-2016","MSW.1999.Bugs","EPIEDMONT",120,23,9,2,0.366666666666667,0.0166666666666667,5,0.00833333333333333,0.208333333333333,0.791666666666667,0.00833333333333333,0.0166666666666667,0.00833333333333333,0.341666666666667
"16","BELK-CJE-R-2016","MSW.1999.Bugs","EPIEDMONT",129,19,8,2,0.341085271317829,0.0232558139534884,3,0,0.372093023255814,0.627906976744186,0.0310077519379845,0.0155038759689922,0.0155038759689922,0.37984496124031
"17","BIRD-107-R-2016","MSW.1999.Bugs","EPIEDMONT",132,19,1,0,0.909090909090909,0,2,0.0303030303030303,0.931818181818182,0.0378787878787879,0.00757575757575758,0.0151515151515152,0,0.946969696969697
"18","BRET-101-R-2016","MSW.1999.Bugs","COASTAL",120,33,12,4,0.0666666666666667,0.05,3,0.333333333333333,0.491666666666667,0.725,0.05,0.025,0.0416666666666667,0.625
"19","BRET-103-R-2016","MSW.1999.Bugs","COASTAL",127,20,8,0,0.047244094488189,0,2,0.015748031496063,0.0866141732283465,0.874015748031496,0.0078740157480315,0.015748031496063,0,0.188976377952756
"20","BRET-117-R-2016","MSW.1999.Bugs","COASTAL",111,25,4,0,0.0540540540540541,0,0,0.108108108108108,0.369369369369369,0.495495495495495,0,0,0.00900900900900901,0.540540540540541
"21","BRET-AJA-R-2016","MSW.1999.Bugs","COASTAL",116,29,15,4,0.0517241379310345,0.0603448275862069,6,0.0948275862068965,0.155172413793103,0.525862068965517,0.00862068965517241,0.0344827586206897,0.0258620689655172,0.241379310344828
"22","BYNU-207-R-2016","MSW.1999.Bugs","EPIEDMONT",115,29,3,0,0,0,7,0.28695652173913,0.347826086956522,0.208695652173913,0.104347826086957,0.0260869565217391,0,0.365217391304348
"23","BYNU-301-R-2016","MSW.1999.Bugs","EPIEDMONT",111,22,3,2,0.441441441441441,0.027027027027027,3,0.252252252252252,0.522522522522523,0.351351351351351,0.216216216216216,0.018018018018018,0.00900900900900901,0.531531531531532
"24","BYNU-306-R-2016","MSW.1999.Bugs","EPIEDMONT",115,20,2,0,0.695652173913043,0,1,0.121739130434783,0.921739130434783,0.373913043478261,0.147826086956522,0.00869565217391304,0,0.939130434782609
"25","CATO-107-X-2016","MSW.1999.Bugs","HIGHLAND",127,24,3,3,0.401574803149606,0.078740157480315,0,0.102362204724409,0.47244094488189,0.559055118110236,0.0236220472440945,0,0.062992125984252,0.866141732283465
"26","CATO-201-X-2016","MSW.1999.Bugs","HIGHLAND",143,32,7,2,0,0.020979020979021,2,0.034965034965035,0.762237762237762,0.174825174825175,0.013986013986014,0.013986013986014,0.00699300699300699,0.804195804195804
"27","CATO-202-X-2016","MSW.1999.Bugs","HIGHLAND",148,34,6,3,0,0.0405405405405405,2,0.0675675675675676,0.716216216216216,0.189189189189189,0.0337837837837838,0.0135135135135135,0.027027027027027,0.756756756756757
"28","CATO-203-X-2016","MSW.1999.Bugs","HIGHLAND",137,25,5,2,0,0.0437956204379562,2,0.0364963503649635,0.598540145985402,0.321167883211679,0.0364963503649635,0.0072992700729927,0.0364963503649635,0.766423357664234
"29","CATO-204-X-2016","MSW.1999.Bugs","HIGHLAND",113,23,1,0,0,0,1,0.0265486725663717,0.734513274336283,0.176991150442478,0.0442477876106195,0.00884955752212389,0,0.867256637168142
"30","CATO-205-X-2016","MSW.1999.Bugs","HIGHLAND",127,17,1,1,0.68503937007874,0.015748031496063,0,0.0393700787401575,0.590551181102362,0.181102362204724,0.015748031496063,0,0,0.716535433070866
"31","CATO-206-X-2016","MSW.1999.Bugs","HIGHLAND",126,18,1,1,0.642857142857143,0.00793650793650794,1,0.0317460317460317,0.476190476190476,0.547619047619048,0.0158730158730159,0.00793650793650794,0.00793650793650794,0.706349206349206
"32","CHRI-105-R-2016","MSW.1999.Bugs","EPIEDMONT",118,28,5,3,0.694915254237288,0.0254237288135593,7,0.101694915254237,0.644067796610169,0.432203389830508,0.127118644067797,0.0423728813559322,0.00847457627118644,0.711864406779661
"33","CONO-101-R-2016","MSW.1999.Bugs","HIGHLAND",135,10,4,0,0.0148148148148148,0,2,0,0.0148148148148148,0.0740740740740741,0,0.00740740740740741,0,0.0222222222222222
